Build Name,Position,Height,Weight,Close Shot,Driving Layup,Driving Dunk,Standing Dunk,Post Control,Midrange Shot,Threepoint Shot,Free Throw,Pass Accuracy,Ball Handle,Speed With Ball,Interior Defense,Perimeter Defense,Steal,Block,Offensive Rebound,Defensive Rebound,Speed,Agility,Strength,Vertical
Physical 2-Way Iso Sniper,Shooting Guard,"6'8""",221,78,53,42,40,58,93,86,73,40,65,70,82,92,85,84,60,80,86,83,93,60
Physical 2-Way Middy Slasher,Shooting Guard,"6'6""",223-227,72-79,71-90,75-87,25-43,45,86-94,83,72-82,71-75,85-86,75,65-66,85-88,85,36-80,33-46,45-70,82-85,77-80,85,65-77
Physical 2-Way Tempo Pusher,Shooting Guard,"6'8""",215,80,84,70,41,53,80,83,60,80,86,78,80,91,61,51,36,61,87,80,88,76
Physical 3 & D Sniper,Shooting Guard,"6'5"" to 6'8""",198-231,60-70,56-70,30-79,26-45,40-52,75-82,85-92,70-91,50-75,70-75,70-78,60-82,92-97,73-91,65-78,31-60,56-62,86-91,81-90,85-92,60-80
Physical 3-Level Scorer,Shooting Guard,"6'6""",215,79-82,80-90,80-90,40,46-87,85-91,86-89,66-80,65-70,80-81,75-79,61,77-85,70-85,41-74,32-56,49-51,80-85,79-80,86,60-86
Physical Clamp Thief,Shooting Guard,"6'6"" to 6'7""",214-223,61-74,60-65,80-81,30-50,45-50,75-84,83,60-71,50-70,62-75,55-80,60-64,95-97,94,52-74,31-40,56-60,80-92,85,85,63-75
Physical Disruptive Lockdown,Shooting Guard,"6'6""",224,59,57,70,34,45,73,82,58,57,72,77,75,94,94,78,40,63,92,88,84,83
Physical Edge Enforcer,Shooting Guard,"6'8""",227,73,80,73,48,75,73,28,49,76,73,75,77,92,85,93,85,70,84,82,85,83
Physical Inside-Out Slasher,Shooting Guard,"6'4""",221,75,90,87,33,80,80,89,85,71,92,86,55,72,60,62,42,42,87,80,85,81
Physical Lockdown Defender,Shooting Guard,"6'6"" to 6'8""",224-235,55-62,60-63,70-75,39-72,45-51,70,70-80,47-64,50-71,70-74,73-75,82-90,92-94,91,80-93,48-62,62-73,83-88,80-88,85,74-75
Physical Mid-Post Creator,Shooting Guard,"6'7""",224,82,91,73,81,87,90,83,65,75,85,75,61,74,60,74,61,49,80,78,86,65
Playmaking 3PT Slasher,Shooting Guard,"6'5""",213,73,82,93,38,43,82,91,67,85,93,75,42,80,79,36,36,61,80,75,67,80
PlaySlash Edge Enforcer,Shooting Guard,"6'8""",227,73,72,92,52,65,77,83,73,85,85,75,60,85,71,74,80,65,86,80,71,80
Post Combo Guard,Shooting Guard,"6'5""",206,84,78,78,68,89,81,81,83,85,84,87,74,80,69,67,69,74,87,72,80,84
Rim-Reaping Dime Dropper,Shooting Guard,"6'6""",211,82,94,54,33,37,73,83,74,85,81,80,60,82,75,78,55,80,89,76,75,83
Rim-Reaping Mid-Paint Scorer,Shooting Guard,"6'8""",192,74,70,88,48,50,89,83,64,71,85,80,61,85,60,75,75,81,88,85,73,78
Rim-Reaping Mid-Post Creator,Shooting Guard,"6'7""",208,80,85,65,66,85,90,83,66,60,85,75,60,82,79,78,75,80,78,80,79,75
Rim-Reaping Mid-Range Slasher,Shooting Guard,"6'7"" to 6'8""",186-193,73-74,71-75,88,38-48,50-51,88-89,80-82,64-70,65-71,86-90,80,70,83-84,54-73,84,55-73,80,80-86,80-84,50-65,80
Rim-Reaping Slasher,Shooting Guard,"6'6"" to 6'8""",200-235,74-80,75-80,93,43-53,46-51,70-75,78-83,59-70,61-70,86-90,75-80,70-74,74-82,52-73,78-85,55-57,80,86-88,83-85,70-71,80-85
Sharpshooting Lob Threat,Shooting Guard,"6'8""",210,85,81,81,81,72,89,88,89,76,72,70,64,76,71,71,40,46,82,76,82,80
Shifty King,Shooting Guard,"6'4""",175,73,85,87,35,46,80,87,75,71,95,91,25,74,60,30,25,36,91,80,42,75
Shot-Creating Combo Guard,Shooting Guard,"6'4"" to 6'8""",185-208,75-80,78-82,47-75,25-40,40-51,90-95,90,80-84,85-92,86-90,75-80,43-53,80-83,51-83,35-68,28-35,43-60,85-89,80-85,57-73,57-80
Shot-Erasing 3-Level Creator,Shooting Guard,"6'8""",185-207,70-80,70-79,87-89,47-49,50-51,85-93,88-89,65-70,60-75,85-86,75-80,62-80,75-83,52-79,78-84,36-75,59-71,80-88,77-86,60-80,75-80
Shot-Erasing 3PT High Flyer,Shooting Guard,"6'6""",208,80,80,93,49,48,80,87,80,80,80,80,77,80,80,76,42,57,80,80,57,80
Shot-Erasing 3PT Slasher,Shooting Guard,"6'7"" to 6'8""",185-216,69-82,70-76,87-95,40-50,50-52,75-80,85-90,60-69,70-76,85-91,78-82,60-71,60-84,60-79,78-80,31-75,53-70,85-90,75-87,50-73,75-83
Shot-Erasing Mid-Paint Scorer,Shooting Guard,"6'8""",202,76,76,96,56,51,89,83,65,56,81,75,68,80,50,88,77,63,86,80,71,82
Shot-Erasing Mid-Range Bully,Shooting Guard,"6'8""",222,71,80,80,44,60,86,80,79,75,80,77,70,80,80,80,53,55,84,82,89,76
Shot-Erasing Mid-Range Slasher,Shooting Guard,"6'8""",191-210,70-76,71-83,89-95,50-60,51-53,85-86,81-83,61-98,60-76,85-86,75-80,61-74,74-82,50-79,78-84,61-75,60-75,83-88,82-88,55-73,80-82
Shot-Erasing Table Setter,Shooting Guard,"6'8""",185,75,75,75,72,70,81,81,71,85,81,80,76,81,73,75,68,70,86,81,78,76
Slashing Board Enforcer,Shooting Guard,"6'8""",220,70,78,88,48,51,75,80,59,70,86,78,85,78,50,85,82,82,86,75,85,80
Speedy Offensive Engine,Shooting Guard,"6'5"" to 6'8""",200-208,70-79,80-86,85-88,30-47,40-51,85,92-93,73-80,85-87,85-90,75-85,35-70,82-84,52-79,33-63,25-38,42-60,85-87,70-80,43-73,66-80
Thieving Inside-Out Playmaker,Shooting Guard,"6'3"" to 6'4""",198-205,75-77,79-81,90,35-37,38,81-82,88-91,67-71,85-86,88-90,80-89,48-66,80-82,88,36-45,25-27,41-47,90-91,76-85,45-48,73-80
Thieving Inside-Out Slasher,Shooting Guard,"6'4""",203,77,88,92,41,60,80,90,70,60,85,88,55,72,86,67,46,51,88,84,70,90
Versatile Paint Finisher,Shooting Guard,"6'8""",206,80,89,91,90,45,76,84,77,84,80,79,56,56,71,68,71,62,86,72,73,85
Versatile Slasher,Shooting Guard,"6'8""",185,92,85,93,53,51,80,80,69,76,86,80,60,83,60,74,38,54,80,80,70,80
Versatile-Scoring Cleaner,Shooting Guard,"6'8""",192,76,79,90,67,51,89,85,64,71,85,80,68,81,60,74,75,81,85,76,53,87
Versatile-Scoring-Cleaner,Shooting Guard,"6'8""",192-210,77-78,70-71,90-91,51,51,92-93,85-88,68-75,71,85-86,78-80,57-60,73-83,43-60,74-77,55-73,80,84-85,81-84,72-73,70-80
